Site093,Cerastium_alpinum,sample,cushion.open,Arabis_sp,BrasUnk3_sp,Draba_sp3,Draba_sp4,Festuca_sp8,Hutchinsia_alpina,Minuartia_sp1,Poa_alpina,Polygonum_sp,Ranunculus_sp2,Saxifraga_sp7,Silene_sp
,,1,cushion,,,2,,1,1,1,10,,,,
,,2,cushion,,,1,,,2,,17,,2,,
,,3,cushion,,,1,,,,,2,,,,
,,4,cushion,,,,,,,,4,,3,,
,,5,cushion,,,,,,1,,,,1,,
,,6,cushion,,,1,,,,,2,1,,,
,,7,cushion,,,,,1,,1,4,,,,
,,8,cushion,,,,,,,1,,,,2,
,,9,cushion,,,,,,,,1,,,,
,,10,cushion,,,,,,,,,,,,
,,11,cushion,,,,,1,1,,7,,8,,
,,12,cushion,,,1,,1,1,,,,,,
,,13,cushion,,,,,1,,,2,,1,1,
,,14,cushion,,,,,,2,,,,,2,
,,15,cushion,,,,,,1,,1,,,,
,,16,cushion,,,1,,,,,25,,,4,
,,17,cushion,,,,,1,,2,16,,,,
,,18,cushion,,,,,,,,1,,,,
,,19,cushion,,,,,,,,3,,1,,1
,,20,cushion,,,,,,,1,1,,,,
,,21,cushion,,,,,,,,,,,,
,,22,cushion,,,,,,,,,,,,
,,23,cushion,,,,,,,,4,,,,
,,24,cushion,,,2,,,,,1,,,,
,,25,cushion,,,,,,,,11,,,,
,,26,cushion,,,,,,,,9,,,,
,,27,cushion,,,1,,,,,6,,,2,
,,28,cushion,,,,,,,,8,,,,
,,29,cushion,,,1,,,,,19,,2,,
,,30,cushion,,,1,,,,,1,,,,
,,31,cushion,,,,,,,,7,,,,
,,32,cushion,,,,,,1,,7,,,,
,,33,cushion,,,,,1,,,3,,,,
,,34,cushion,,,,,,,,9,,,1,
,,35,cushion,,,,,,,,8,,,1,
,,36,cushion,,,,1,,1,,11,,,1,
,,37,cushion,,,,,,,,4,,,,
,,38,cushion,,,,,,,,,,,,
,,39,cushion,,,2,,,,,4,,1,1,
,,40,cushion,,,,,,1,1,2,,,1,
,,41,cushion,,,,,1,,,10,,,1,
,,42,cushion,,,,,,,,3,,,,
,,43,cushion,,2,,,,,,4,,,,
,,44,cushion,,,1,,,1,,5,1,,2,
,,45,cushion,,,,,1,,,6,,,,
,,46,cushion,,,,,,,,,,,,
,,47,cushion,,,,,1,5,1,8,,,,
,,48,cushion,,,,,,,,,,,1,
,,49,cushion,,,,,,,,4,,,,
,,50,cushion,,,,,,,,4,,,,
,,51,cushion,,,,,,,,6,,,,
,,52,cushion,,,,,,,,2,,,,
,,53,cushion,,,,,,,,12,,,,
,,54,cushion,,,,,,,,10,,,1,
,,55,cushion,,,,,,2,1,8,,,,
,,56,cushion,,,,,,1,,,,,1,
,,57,cushion,,,1,,,,,7,,,3,
,,58,cushion,,,3,,1,,,10,,1,2,
,,59,cushion,,,1,,1,,,14,,,2,
,,60,cushion,,,,,,1,,9,,,,
,,61,cushion,,,2,,2,,,9,,,,
,,62,cushion,,,,,,,,23,,,,
,,63,cushion,,,,,,,1,7,,,,
,,64,cushion,,,,,,,,14,,,,
,,65,cushion,,,,,,,,6,,,,
,,66,cushion,,,,,,,,13,,1,,
,,67,cushion,,,,,,,,,,,,
,,68,cushion,,,,,,,,,,,,
,,69,cushion,,,1,,,,,,,,,
,,70,cushion,,,,,,,,,,,,
,,71,cushion,,,,,,,,4,,,,
,,72,cushion,,,,,1,,,4,,,,
,,73,cushion,,,1,,,,,1,,,,
,,74,cushion,,,,,,4,,1,,,,
,,75,cushion,,,1,,,,,2,,,1,
,,76,cushion,,,,,,1,,6,,,,
,,77,cushion,,,,,,1,,,,,,
,,78,cushion,,,,,,2,,3,,,,
,,79,cushion,,,,,,,,3,,,,
,,80,cushion,,,,,,,,5,,,,
,,81,cushion,,,,,,,,,,,1,
,,82,cushion,,,,,,,,,,,1,
,,83,cushion,,,,,,,,1,,,,
,,84,cushion,,,,,,1,,2,,,1,
,,85,cushion,,,,,,1,,,,,,
,,86,cushion,,,,,,1,,,,,2,
,,87,cushion,,,1,,,,,,,,1,
,,88,cushion,,,,,,,,,,,,
,,89,cushion,,,,,,,,,,,,
,,90,cushion,,,,,,,,22,,,,
,,91,cushion,,,,,,,,6,,,,
,,1,open,,,,,,,,1,,,,
,,2,open,,,,,,,,2,,,,
,,3,open,,,,,,,,,,,,
,,4,open,,,,,,,,1,,,,
,,5,open,,,,,,,,,,,,
,,6,open,,,,,,,,,,,,
,,7,open,,,,,,1,,1,,,,
,,8,open,,,1,,,,,,,,,
,,9,open,,,,,,1,,4,,,,
,,10,open,,,,,,,,3,,,,
,,11,open,,,,,,,,2,,,,
,,12,open,,,,,,,,2,,,,
,,13,open,,,2,,,1,,1,,,,
,,14,open,,,,,,,,1,,,1,
,,15,open,,,,,,,,,,,1,
,,16,open,,,,,,,,9,,,,
,,17,open,,,,,,,,1,,,,
,,18,open,,,,,,,,,,,,
,,19,open,,,,,,1,,1,,,1,
,,20,open,,,,,,,,4,,,,
,,21,open,,,,,,,,,,,,
,,22,open,,,,,,,,,,,,
,,23,open,,,,,,,,3,,,,
,,24,open,,,,,,,,1,,,,
,,25,open,,,,,,,,2,,,,
,,26,open,,,,,,,,,,,,
,,27,open,,,,,,,,,,,1,
,,28,open,,,,,,,,7,,,,
,,29,open,,,1,,,,,4,,,1,
,,30,open,,,,,,,,2,,,,
,,31,open,,,,,,1,,3,,,,
,,32,open,,,,,,,,3,,,,
,,33,open,1,,,,,1,,3,,,,
,,34,open,,,,,,,,3,,,,
,,35,open,,,,,,,,4,,,,
,,36,open,,,,,,,,8,,,,
,,37,open,,,1,,,1,,,,,,
,,38,open,,,,,,1,,1,,,,
,,39,open,,,,,,,,,,,1,
,,40,open,,,,,,,,,,,,
,,41,open,,,,,,,,,,,,
